"Name","URI","Region GSS code","Period","Sales volume","Reporting period","Percentage_change_All_property_types","Percentage change (monthly) Detached houses","Percentage change (monthly) Semi-detached houses","Percentage change (monthly) Terraced houses","Percentage change (monthly) Flats and maisonettes","Date"
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2003-10,15741,monthly,0.8,-0.26,0.49,0.88,0.95,2003-10-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2003-11,14754,monthly,0.44,-0.58,-0.03,0.55,0.62,2003-11-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2003-12,14839,monthly,0.66,-1.02,0.21,0.07,1.39,2003-12-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2004-01,12767,monthly,0.87,3.21,1.29,1.35,0.17,2004-01-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2004-02,12160,monthly,0.43,0.15,0.65,0.88,0.1,2004-02-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2004-03,14409,monthly,0.69,-0.66,-0.62,0.49,1.34,2004-03-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2004-04,14873,monthly,2.05,0.8,2.67,2.73,1.52,2004-04-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2004-05,13613,monthly,0.65,-1.24,0.24,0.35,1.12,2004-05-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2004-06,16163,monthly,1.24,1.88,0.91,0.78,1.6,2004-06-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2004-07,17612,monthly,1.62,2.11,2.32,2.54,0.77,2004-07-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2004-08,15020,monthly,0.41,1.21,0.09,0.32,0.51,2004-08-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2004-09,13500,monthly,-0.3,-0.3,-0.17,-0.22,-0.39,2004-09-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2004-10,12031,monthly,-0.79,-0.68,-0.57,-0.79,-0.86,2004-10-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2004-11,10790,monthly,1.05,0.16,0.48,0.72,1.5,2004-11-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2004-12,10859,monthly,-1.93,-1.76,-1.9,-1.8,-2.04,2004-12-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2005-01,8020,monthly,0.97,1.56,0.7,1.33,0.78,2005-01-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2005-02,7829,monthly,-0.47,-1.22,-0.31,-0.58,-0.4,2005-02-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2005-03,9361,monthly,-0.03,-0.59,-0.44,0.23,-0.02,2005-03-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2005-04,10290,monthly,1.77,0.7,1.64,1.96,1.78,2005-04-01
