"Name","URI","Region GSS code","Period","Sales volume","Reporting period","Percentage_change_All_property_types","Percentage change (monthly) Detached houses","Percentage change (monthly) Semi-detached houses","Percentage change (monthly) Terraced houses","Percentage change (monthly) Flats and maisonettes","Date"
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2016-08,8535,monthly,-0.75,-0.45,-0.72,-1.02,-0.65,2016-08-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2016-09,8275,monthly,-0.04,-0.6,-0.56,-0.35,0.32,2016-09-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2016-10,8100,monthly,-0.16,-0.04,0.11,-0.86,0.14,2016-10-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2016-11,8178,monthly,-0.03,0.36,-0.69,-0.34,0.27,2016-11-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2016-12,8460,monthly,0.32,0.05,0.03,0.55,0.31,2016-12-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2017-01,6931,monthly,0.69,0.71,1.18,0.88,0.45,2017-01-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2017-02,7108,monthly,0.23,-0.6,-1.0,-1.04,1.29,2017-02-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2017-03,8659,monthly,-0.27,0.66,0.64,0.59,-1.02,2017-03-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2017-04,7120,monthly,0.91,0.59,0.15,0.55,1.33,2017-04-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2017-05,7874,monthly,0.23,-0.97,0.68,-0.05,0.37,2017-05-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2017-06,9192,monthly,-0.16,0.01,-0.43,0.62,-0.49,2017-06-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2017-07,8494,monthly,1.74,1.4,2.32,1.8,1.6,2017-07-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2017-08,8921,monthly,-0.3,0.18,-0.42,0.29,-0.6,2017-08-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2017-09,8239,monthly,-0.67,0.95,-0.23,-0.97,-0.77,2017-09-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2017-10,7990,monthly,-0.43,-0.49,0.33,-0.46,-0.6,2017-10-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2017-11,7629,monthly,-1.14,-1.75,-1.2,-1.15,-1.06,2017-11-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2017-12,7883,monthly,0.12,0.69,-0.04,0.28,0.03,2017-12-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2018-01,6584,monthly,0.61,-0.39,0.64,0.19,0.91,2018-01-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2018-02,6386,monthly,-0.4,0.27,-0.41,-0.22,-0.52,2018-02-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2018-03,7350,monthly,-1.15,-0.89,-0.41,-0.46,-1.65,2018-03-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2018-04,6511,monthly,1.04,1.0,1.23,1.24,0.9,2018-04-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2018-05,6980,monthly,0.26,0.46,0.46,0.83,-0.06,2018-05-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2018-06,8135,monthly,0.3,0.67,0.99,-0.04,0.26,2018-06-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2018-07,8303,monthly,1.0,2.18,0.69,1.54,0.74,2018-07-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2018-08,8975,monthly,-1.07,-1.78,-1.35,-1.27,-0.86,2018-08-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2018-09,7636,monthly,-0.63,0.02,0.0,-0.37,-0.94,2018-09-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2018-10,7956,monthly,0.74,0.7,0.47,0.46,0.93,2018-10-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2018-11,8130,monthly,-1.19,-0.58,-0.96,-0.83,-1.45,2018-11-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2018-12,6957,monthly,-0.23,-1.56,-0.16,-0.84,0.13,2018-12-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2019-01,6031,monthly,-0.67,1.16,-0.31,-0.45,-0.99,2019-01-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2019-02,5967,monthly,-0.85,-1.4,-1.22,-0.71,-0.77,2019-02-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2019-03,6875,monthly,-0.41,-1.95,-0.79,-0.33,-0.21,2019-03-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2019-04,6063,monthly,1.16,0.84,0.74,1.39,1.19,2019-04-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2019-05,6815,monthly,-1.26,-1.04,-0.61,-0.66,-1.76,2019-05-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2019-06,6991,monthly,1.49,1.69,2.13,1.0,1.55,2019-06-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2019-07,8275,monthly,1.7,0.85,0.35,1.54,2.23,2019-07-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2019-08,8797,monthly,-1.21,0.29,-0.12,0.29,-2.39,2019-08-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2019-09,7586,monthly,0.93,-0.1,-0.36,-0.39,2.07,2019-09-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2019-10,7901,monthly,-0.94,-0.07,1.01,-0.66,-1.69,2019-10-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2019-11,7833,monthly,-0.83,0.36,-0.74,-0.02,-1.36,2019-11-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2019-12,7107,monthly,2.22,0.47,0.8,1.5,3.14,2019-12-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2020-01,6527,monthly,-0.67,-1.83,-0.79,-0.86,-0.44,2020-01-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2020-02,6465,monthly,-0.31,2.36,0.76,0.61,-1.33,2020-02-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2020-03,6842,monthly,1.71,0.5,1.21,0.82,2.44,2020-03-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2020-04,3206,monthly,-1.34,0.43,-1.05,-0.56,-1.98,2020-04-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2020-05,2929,monthly,-0.62,-1.5,-0.57,-1.01,-0.34,2020-05-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2020-06,4511,monthly,1.43,-0.11,1.88,2.58,0.84,2020-06-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2020-07,5988,monthly,0.8,1.46,0.36,0.12,1.23,2020-07-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2020-08,6148,monthly,1.16,1.91,1.92,2.01,0.43,2020-08-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2020-09,7087,monthly,0.77,0.35,0.49,0.86,0.85,2020-09-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2020-10,8083,monthly,-1.42,-0.19,-0.67,-0.59,-2.17,2020-10-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2020-11,7825,monthly,1.72,2.14,1.8,1.65,1.68,2020-11-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2020-12,9201,monthly,-0.07,-0.21,0.43,0.3,-0.4,2020-12-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2021-01,8030,monthly,0.0,-1.9,-1.2,-1.2,1.2,2021-01-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2021-02,10070,monthly,-0.7,-0.8,-0.7,-1.1,-0.6,2021-02-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2021-03,16466,monthly,1.7,0.4,0.8,1.4,2.4,2021-03-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2021-04,9151,monthly,-2.0,0.8,-0.5,-1.6,-3.0,2021-04-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2021-05,7696,monthly,-0.1,0.0,0.0,-0.1,-0.2,2021-05-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2021-06,26412,monthly,3.0,1.1,2.2,4.3,2.7,2021-06-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2021-07,3030,monthly,-1.6,0.9,-2.5,-4.7,0.3,2021-07-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2021-08,6063,monthly,3.0,3.8,4.9,5.0,1.3,2021-08-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2021-09,12748,monthly,-0.7,-1.3,0.0,0.3,-1.5,2021-09-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2021-10,4935,monthly,-0.4,2.9,0.6,-1.1,-0.7,2021-10-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2021-11,6837,monthly,1.5,0.3,0.9,1.0,2.1,2021-11-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2021-12,7655,monthly,0.0,-0.4,0.2,1.1,-0.6,2021-12-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2022-01,6300,monthly,0.6,0.6,1.0,0.8,0.4,2022-01-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2022-02,7001,monthly,0.0,0.4,0.1,-0.6,0.4,2022-02-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2022-03,8421,monthly,-0.3,0.4,0.2,0.3,-1.0,2022-03-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2022-04,7258,monthly,1.0,0.2,0.7,1.6,0.8,2022-04-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2022-05,7593,monthly,-0.2,0.9,1.0,0.2,-1.0,2022-05-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2022-06,8166,monthly,3.2,2.0,2.5,3.2,3.6,2022-06-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2022-07,8991,monthly,0.6,0.0,0.5,1.2,0.3,2022-07-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2022-08,9014,monthly,0.9,1.7,1.5,1.2,0.5,2022-08-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2022-09,8902,monthly,-0.2,0.5,0.2,-0.3,-0.4,2022-09-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2022-10,8287,monthly,-1.5,-1.3,-0.8,-1.0,-2.0,2022-10-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2022-11,8167,monthly,0.5,0.8,0.3,0.4,0.5,2022-11-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2022-12,7037,monthly,-0.7,-0.7,-0.3,-0.7,-0.9,2022-12-01
